source,target,relation,tweet_url,timestamp,extracted_at
@kuah_ramyeon,@grok,mention,https://x.com/kuah_ramyeon/status/1958002973336039472,2025-08-20T03:07:41.000Z,8/20/2025 10:24
@jokitugascerdas,@jokitugascerdas,self_mention,https://x.com/jokitugascerdas/status/1957988690812358897,2025-08-20T02:10:56.000Z,8/20/2025 10:24
@kpertiwi29,@hrdbacot,mention,https://x.com/kpertiwi29/status/1957914003226665414,2025-08-19T21:14:09.000Z,8/20/2025 10:24
@daulatrakyatcom,@zul,mention,https://x.com/daulatrakyatcom/status/1957677889035596055,2025-08-19T05:35:55.000Z,8/20/2025 10:25
@The_Savior__,@Pak_JK,mention,https://x.com/The_Savior__/status/1957634563733393590,2025-08-19T02:43:45.000Z,8/20/2025 10:25
@jokoprabowo88,@grok,mention,https://x.com/jokoprabowo88/status/1956149124958707757,2025-08-15T00:21:09.000Z,8/20/2025 10:47
@volksturmmjager,@bps_statistics,mention,https://x.com/volksturmmjager/status/1953095655372583245,2025-08-06T14:07:45.000Z,8/20/2025 10:47
@kpulomboktimur,@KPU_ID,mention,https://x.com/kpulomboktimur/status/1950487102107652489,2025-07-30T09:22:18.000Z,8/20/2025 10:48
@ujbslayfm,@grok,mention,https://x.com/ujbslayfm/status/1947182783841051004,2025-07-21T06:32:07.000Z,8/20/2025 10:48
@Gambit_XX__280,@prabowo,mention,https://x.com/Gambit_XX__280/status/1946965845097525684,2025-07-20T16:10:05.000Z,8/20/2025 10:48
@Gambit_XX__280,@jokowi,mention,https://x.com/Gambit_XX__280/status/1946965845097525684,2025-07-20T16:10:05.000Z,8/20/2025 10:48
@chepi_iwe,@jokowi,mention,https://x.com/chepi_iwe/status/1946531877243777275,2025-07-19T11:25:39.000Z,8/20/2025 10:48
@chepi_iwe,@psi_id,mention,https://x.com/chepi_iwe/status/1946531877243777275,2025-07-19T11:25:39.000Z,8/20/2025 10:48
@titianggraini,@JimlyAs,mention,https://x.com/titianggraini/status/1941779291701997763,2025-07-06T08:40:34.000Z,8/20/2025 10:48
@titianggraini,@heroikmp,mention,https://x.com/titianggraini/status/1941779291701997763,2025-07-06T08:40:34.000Z,8/20/2025 10:48
@titianggraini,@perludem,mention,https://x.com/titianggraini/status/1941779291701997763,2025-07-06T08:40:34.000Z,8/20/2025 10:48
@kurniawanaghil,@indonesiacontent,reply,https://x.com/titianggraini/status/1941779291701997763,2025-07-06T08:40:34.000Z,8/25/2025 10:48
@Moekidjo,@Fahrihamzah,reply,https://x.com/titianggraini/status/1941779291701997763,2025-07-06T08:40:34.000Z,8/26/2025 10:48
@neoordebaru,@prabowo,reply,https://x.com/titianggraini/status/1941779291701997763,2025-07-06T08:40:34.000Z,8/27/2025 10:48
@TemanKaesang,@psi_id,mention,https://x.com/titianggraini/status/1941779291701997763,2025-07-06T08:40:34.000Z,8/28/2025 10:48
@KomaNewsroom,@tv,mention,https://x.com/titianggraini/status/1941779291701997763,2025-07-06T08:40:34.000Z,8/29/2025 10:48
@024wahyuadi,@indonesiana,mention,https://x.com/titianggraini/status/1941779291701997763,2025-07-06T08:40:34.000Z,8/31/2025 10:48
@boerach,@watchdoc_ID,mention,https://x.com/titianggraini/status/1941779291701997763,2025-07-06T08:40:34.000Z,9/1/2025 10:48
@BustoniFikri4,@jokowi,reply,https://x.com/titianggraini/status/1941779291701997763,2025-07-06T08:40:34.000Z,9/2/2025 10:48
@daulatrakyatcom,@prabowo4nation,mention,https://x.com/titianggraini/status/1941779291701997763,2025-07-06T08:40:34.000Z,9/4/2025 10:48
@BustoniFikri4,@DPR_RI,mention,https://x.com/titianggraini/status/1941779291701997763,2025-07-06T08:40:34.000Z,9/5/2025 10:48
@BustoniFikri4,@PDI_Perjuangan,mention,https://x.com/titianggraini/status/1941779291701997763,2025-07-06T08:40:34.000Z,9/6/2025 10:48
@TemanKaesang,@feliciatissue,mention,https://x.com/titianggraini/status/1941779291701997763,2025-07-06T08:40:34.000Z,9/7/2025 10:48
@BustoniFikri4,@jokowi,mention,https://x.com/titianggraini/status/1941779291701997763,2025-07-06T08:40:34.000Z,9/8/2025 10:48
@BustoniFikri4,@ridwankamil,mention,https://x.com/titianggraini/status/1941779291701997763,2025-07-06T08:40:34.000Z,9/9/2025 10:48
@kurniawanaghil,@AndikaPerkasa02,reply,https://x.com/titianggraini/status/1941779291701997763,2025-07-06T08:40:34.000Z,9/10/2025 10:48
@icatwps,@prabowo,mention,https://x.com/titianggraini/status/1941779291701997763,2025-07-06T08:40:34.000Z,9/11/2025 10:48
@Memorysonk2024,@PDI_Perjuangan,reply,https://x.com/titianggraini/status/1941779291701997763,2025-07-06T08:40:34.000Z,9/12/2025 10:48
@TKuntadi1,@PKSejahtera,reply,https://x.com/titianggraini/status/1941779291701997763,2025-07-06T08:40:34.000Z,9/14/2025 10:48
@teatree917,@tempodotco,mention,https://x.com/titianggraini/status/1941779291701997763,2025-07-06T08:40:34.000Z,9/17/2025 10:48
@kurniawanaghil,@indonesiakonten,reply,https://x.com/titianggraini/status/1941779291701997763,2025-07-06T08:40:34.000Z,9/25/2025 10:48
@AriPsyche,@NajwaShihab,mention,https://x.com/titianggraini/status/1941779291701997763,2025-07-06T08:40:34.000Z,9/27/2025 10:48
@suarakonstituen,@KPK_RI,mention,https://x.com/titianggraini/status/1941779291701997763,2025-07-06T08:40:34.000Z,9/28/2025 10:48
@kurniawanaghil,@indonesiakonten,mention,https://x.com/titianggraini/status/1941779291701997763,2025-07-06T08:40:34.000Z,10/3/2025 10:48
@gonthopramu,@kaesangp,mention,https://x.com/titianggraini/status/1941779291701997763,2025-07-06T08:40:34.000Z,10/4/2025 10:48
@enot_inot,@DPR_RI,reply,https://x.com/titianggraini/status/1941779291701997763,2025-07-06T08:40:34.000Z,10/5/2025 10:48
@beritajatimcom,@beritajatimcom,mention,https://x.com/titianggraini/status/1941779291701997763,2025-07-06T08:40:34.000Z,10/6/2025 10:48
@ffavgurll,@DPR_RI,mention,https://x.com/titianggraini/status/1941779291701997763,2025-07-06T08:40:34.000Z,10/7/2025 10:48
@BadanPrima8625,@basuki_btp,mention,https://x.com/titianggraini/status/1941779291701997763,2025-07-06T08:40:34.000Z,10/8/2025 10:48
@litopansolawase,@BEMUI_Official,mention,https://x.com/titianggraini/status/1941779291701997763,2025-07-06T08:40:34.000Z,10/9/2025 10:48
@dayyisxq,@BEMUI_Official,mention,https://x.com/titianggraini/status/1941779291701997763,2025-07-06T08:40:34.000Z,10/18/2025 10:48
@litopansolawase,@BEMUI_Official,reply,https://x.com/titianggraini/status/1941779291701997763,2025-07-06T08:40:34.000Z,10/25/2025 10:48
@pinginsugih,@BEMUI_Official,reply,https://x.com/titianggraini/status/1941779291701997763,2025-07-06T08:40:34.000Z,10/26/2025 10:48
@pinginsugih,@BEMUI_Official,mention,https://x.com/titianggraini/status/1941779291701997763,2025-07-06T08:40:34.000Z,10/27/2025 10:48
@digipreneur99,@PKSejahtera,reply,https://x.com/titianggraini/status/1941779291701997763,2025-07-06T08:40:34.000Z,10/28/2025 10:48
@BustoniFikri4,@airlangga_hrt,mention,https://x.com/titianggraini/status/1941779291701997763,2025-07-06T08:40:34.000Z,10/29/2025 10:48
@Irfan5yah_Putra,@PKSejahtera,reply,https://x.com/titianggraini/status/1941779291701997763,2025-07-06T08:40:34.000Z,10/30/2025 10:48
@Dogelkarya76_82,@PKSejahtera,mention,https://x.com/titianggraini/status/1941779291701997763,2025-07-06T08:40:34.000Z,10/31/2025 10:48
@GerakanPis,@TotalPolitikCom,mention,https://x.com/titianggraini/status/1941779291701997763,2025-07-06T08:40:34.000Z,11/1/2025 10:48
@abidin_dzakaria,@aniesbaswedan,mention,https://x.com/titianggraini/status/1941779291701997763,2025-07-06T08:40:34.000Z,11/2/2025 10:48
@Moekidjo,@aniesbaswedan,mention,https://x.com/titianggraini/status/1941779291701997763,2025-07-06T08:40:34.000Z,11/3/2025 10:48
@abenkjambinr,@pandji,mention,https://x.com/titianggraini/status/1941779291701997763,2025-07-06T08:40:34.000Z,11/4/2025 10:48
@spinnech,@convomf,mention,https://x.com/titianggraini/status/1941779291701997763,2025-07-06T08:40:34.000Z,11/5/2025 10:48
@goensant,@pandji,mention,https://x.com/titianggraini/status/1941779291701997763,2025-07-06T08:40:34.000Z,11/6/2025 10:48
@NasionalisSiber,@bpkri,mention,https://x.com/titianggraini/status/1941779291701997763,2025-07-06T08:40:34.000Z,11/7/2025 10:48
@NegaraKorupRI,@suarakonstituen,mention,https://x.com/titianggraini/status/1941779291701997763,2025-07-06T08:40:34.000Z,11/8/2025 10:48
@ErwinRabbani,@mohmahfudmd,mention,https://x.com/titianggraini/status/1941779291701997763,2025-07-06T08:40:34.000Z,11/9/2025 10:48
@k_tuaethnic,@tempodotco,mention,https://x.com/titianggraini/status/1941779291701997763,2025-07-06T08:40:34.000Z,11/10/2025 10:48
@ErwinRabbani,@KPK_RI,mention,https://x.com/titianggraini/status/1941779291701997763,2025-07-06T08:40:34.000Z,11/11/2025 10:48
@BustoniFikri4,@jokowi,mention,https://x.com/Lanun_1017/status/1958523212675133570116359949529259680,2025-08-21T13:34:56.000Z,8/23/2025 11:07
@Achonk_Amr2,@PartaiSocmed,mention,https://x.com/Achonk_Amr2/status/1958572448539910182,2025-08-21T16:50:34.000Z,8/22/2025 11:15
@Achonk_Amr2,@kangdede78,mention,https://x.com/Achonk_Amr2/status/1958572448539910182,2025-08-21T16:50:34.000Z,8/22/2025 11:15
@Lanun_1017,@prabowo,mention,https://x.com/Lanun_1017/status/1958523212675133570,2025-08-21T13:34:56.000Z,8/22/2025 11:15
@Lanun_1017,@DPR_RI,mention,https://x.com/Lanun_1017/status/1958523212675133570,2025-08-21T13:34:56.000Z,8/22/2025 11:15
@titik_terang018,@modgovae,mention,https://x.com/titik_terang018/status/1958773672451481875,2025-08-22T06:10:10.000Z,8/22/2025 15:45
@selametdedi,@prabowo,mention,https://x.com/selametdedi/status/1958729532518867027,2025-08-22T03:14:46.000Z,8/22/2025 15:46
@tentaralangit99,@grok,mention,https://x.com/tentaralangit99/status/1958696611250675914,2025-08-22T01:03:57.000Z,8/22/2025 15:46
@tentaralangit99,@prabowo,mention,https://x.com/tentaralangit99/status/1958696611250675914,2025-08-22T01:03:57.000Z,8/22/2025 15:46
@fire_lotus,@grok,mention,https://x.com/fire_lotus/status/1958684535178371186,2025-08-22T00:15:58.000Z,8/22/2025 15:46
@AtokSsk,@DPR_RI,mention,https://x.com/AtokSsk/status/1958673598526435426,2025-08-21T23:32:30.000Z,8/22/2025 15:46
@AtokSsk,@KPK_RI,mention,https://x.com/AtokSsk/status/1958673598526435426,2025-08-21T23:32:30.000Z,8/22/2025 15:46
@AtokSsk,@KejaksaanRI,mention,https://x.com/AtokSsk/status/1958673598526435426,2025-08-21T23:32:30.000Z,8/22/2025 15:46
@Billtaek,@deddysitorus,mention,https://x.com/Billtaek/status/1958578171378376935,2025-08-21T17:13:19.000Z,8/22/2025 15:57
@enot_inot,@golkarpedia,mention,https://x.com/enot_inot/status/1958018383481377019,2025-08-20T04:08:55.000Z,8/22/2025 15:57
@enot_inot,@fraksigolkar,mention,https://x.com/enot_inot/status/1958018383481377019,2025-08-20T04:08:55.000Z,8/22/2025 15:57
@ArtaN7707,@DPR_RI,mention,https://x.com/ArtaN7707/status/1957514072272097672,2025-08-18T18:44:58.000Z,8/22/2025 15:57
@daulatrakyatcom,@bushcoo,mention,https://x.com/daulatrakyatcom/status/1960169441586790681,2025-08-26T02:36:27.000Z,8/26/2025 13:47
@RayapWatu,@puanmaharani_ri,mention,https://x.com/RayapWatu/status/1960162217099481399,2025-08-26T02:07:45.000Z,8/26/2025 13:47
@kirarachelsea,@puanmaharani_ri,mention,https://x.com/kirarachelsea/status/1960161904921567689,2025-08-26T02:06:30.000Z,8/26/2025 13:47
@triwahyuutama15,@prabowo,mention,https://x.com/triwahyuutama15/status/1959902227298218308,2025-08-25T08:54:38.000Z,8/26/2025 13:48
@narasi_politik,@KPK_RI,mention,https://x.com/narasi_politik/status/1960128597043343822,2025-08-25T23:54:09.000Z,8/26/2025 13:48
@narasi_politik,@OJK_Indonesia,mention,https://x.com/narasi_politik/status/1960128597043343822,2025-08-25T23:54:09.000Z,8/26/2025 13:48
@Official_adit,@DPR_RI,mention,https://x.com/Official_adit/status/1960006418846953710,2025-08-25T15:48:40.000Z,8/26/2025 13:48
@dewmustika82,@prabowo,mention,https://x.com/dewmustika82/status/1959955307750449404,2025-08-25T12:25:34.000Z,8/26/2025 13:48
@Shalihin_Nad_95,@grok,mention,https://x.com/Shalihin_Nad_95/status/1959915364785201554,2025-08-25T09:46:51.000Z,8/26/2025 13:48
@andayani_lolita,@DPR_RI,mention,https://x.com/andayani_lolita/status/1959906712959492424,2025-08-25T09:12:28.000Z,8/26/2025 13:48
@wannafigh,@SoeTjenMarching,mention,https://x.com/wannafigh/status/1959837786397425979,2025-08-25T04:38:34.000Z,8/26/2025 13:48
@gilang_ahm31272,@jokowi,mention,https://x.com/gilang_ahm31272/status/1959833453639381414,2025-08-25T04:21:21.000Z,8/26/2025 13:48
@oraisokon,@univ_indonesia,mention,https://x.com/oraisokon/status/1959665359176540631,2025-08-24T17:13:25.000Z,8/26/2025 13:48
@OjolTxt,@jokowi,mention,https://x.com/OjolTxt/status/1959627197209313701,2025-08-24T14:41:46.000Z,8/26/2025 13:48
@KAMID82650678,@prabowo,mention,https://x.com/KAMID82650678/status/1959601723947008511,2025-08-24T13:00:33.000Z,8/26/2025 13:48
@KAMID82650678,@UN,mention,https://x.com/KAMID82650678/status/1959601723947008511,2025-08-24T13:00:33.000Z,8/26/2025 13:48
@KAMID82650678,@ICC,mention,https://x.com/KAMID82650678/status/1959601723947008511,2025-08-24T13:00:33.000Z,8/26/2025 13:48
@KAMID82650678,@OCCRP,mention,https://x.com/KAMID82650678/status/1959601723947008511,2025-08-24T13:00:33.000Z,8/26/2025 13:48
@Batigoltaeng,@prabowo,mention,https://x.com/Batigoltaeng/status/1959584259825656005,2025-08-24T11:51:09.000Z,8/26/2025 13:48
@derarang,@DPR_RI,mention,https://x.com/derarang/status/1959565706493587718,2025-08-24T10:37:26.000Z,8/26/2025 13:48
@PolitikBRIN,@firmannoor8,mention,https://x.com/PolitikBRIN/status/1960524195546222975,2025-08-27T02:06:07.000Z,8/27/2025 9:21
@PolitikBRIN,@PolitikBRIN,self_mention,https://x.com/PolitikBRIN/status/1960524195546222975,2025-08-27T02:06:07.000Z,8/27/2025 9:21
@Joyyc__,#jokitugas,hashtag_use,https://x.com/Joyyc__/status/1960516589771722914,2025-08-27T01:35:54.000Z,8/27/2025 9:21
@Joyyc__,#jokitugaskuliah,hashtag_use,https://x.com/Joyyc__/status/1960516589771722914,2025-08-27T01:35:54.000Z,8/27/2025 9:21
@joyyc__3,#jokitugas,hashtag_use,https://x.com/joyyc__3/status/1960516034215264421,2025-08-27T01:33:41.000Z,8/27/2025 9:21
@MasheriJayapura,#PKSPapua,hashtag_use,https://x.com/MasheriJayapura/status/1960439366477865161,2025-08-26T20:29:02.000Z,8/27/2025 9:21
@MasheriJayapura,#MuswilVI,hashtag_use,https://x.com/MasheriJayapura/status/1960439366477865161,2025-08-26T20:29:02.000Z,8/27/2025 9:21
@MasheriJayapura,#BersamaMelayaniRakyat,hashtag_use,https://x.com/MasheriJayapura/status/1960439366477865161,2025-08-26T20:29:02.000Z,8/27/2025 9:21
@joyyc__3,#jokitugas,hashtag_use,https://x.com/joyyc__3/status/1960416580317405395,2025-08-26T18:58:30.000Z,8/27/2025 9:21
@joyyc__3,#jokitugaskuliah,hashtag_use,https://x.com/joyyc__3/status/1960416580317405395,2025-08-26T18:58:30.000Z,8/27/2025 9:21
@Joyyc__,#jokitugas,hashtag_use,https://x.com/Joyyc__/status/1960416399542903217,2025-08-26T18:57:47.000Z,8/27/2025 9:21
@joyyc__3,#jokitugas,hashtag_use,https://x.com/joyyc__3/status/1960341468083855458,2025-08-26T14:00:02.000Z,8/27/2025 9:21
@Joyyc__,#jokitugas,hashtag_use,https://x.com/Joyyc__/status/1960341282804711697,2025-08-26T13:59:17.000Z,8/27/2025 9:21
@Joyyc__,#jokitugaskuliah,hashtag_use,https://x.com/Joyyc__/status/1960341282804711697,2025-08-26T13:59:17.000Z,8/27/2025 9:21
@KitaKawanKakak,@prabowo,mention,https://x.com/KitaKawanKakak/status/1960329189317570814,2025-08-26T13:11:14.000Z,8/27/2025 9:21
@bellpods_,#Politik,hashtag_use,https://x.com/bellpods_/status/1960296564993486962,2025-08-26T11:01:36.000Z,8/27/2025 9:22
@bellpods_,#Menteri,hashtag_use,https://x.com/bellpods_/status/1960296564993486962,2025-08-26T11:01:36.000Z,8/27/2025 9:22
@bellpods_,#Indonesia,hashtag_use,https://x.com/bellpods_/status/1960296564993486962,2025-08-26T11:01:36.000Z,8/27/2025 9:22
@bellpods_,#VideoMenarik,hashtag_use,https://x.com/bellpods_/status/1960296564993486962,2025-08-26T11:01:36.000Z,8/27/2025 9:22
@tempodotco,#TempoPlus,hashtag_use,https://x.com/tempodotco/status/1960269738434846765,2025-08-26T09:15:00.000Z,8/27/2025 9:22
@YohSudarman,@univ_indonesia,mention,https://x.com/YohSudarman/status/1960260174129541327,2025-08-26T08:37:00.000Z,8/27/2025 9:22
@YohSudarman,@TimesofIsrael,mention,https://x.com/YohSudarman/status/1960260174129541327,2025-08-26T08:37:00.000Z,8/27/2025 9:22
@YohSudarman,#AmYisraelChai,hashtag_use,https://x.com/YohSudarman/status/1960260174129541327,2025-08-26T08:37:00.000Z,8/27/2025 9:22
@bawaslukottegal,#SahabatBawaslu,hashtag_use,https://x.com/bawaslukottegal/status/1960260006428676342,2025-08-26T08:36:20.000Z,8/27/2025 9:22
@radar_mojokerto,#bupatimojokerto,hashtag_use,https://x.com/radar_mojokerto/status/1960249978619887919,2025-08-26T07:56:29.000Z,8/27/2025 9:22
@radar_mojokerto,#apbdes,hashtag_use,https://x.com/radar_mojokerto/status/1960249978619887919,2025-08-26T07:56:29.000Z,8/27/2025 9:22
@radar_mojokerto,#BKDESA,hashtag_use,https://x.com/radar_mojokerto/status/1960249978619887919,2025-08-26T07:56:29.000Z,8/27/2025 9:22
@Joyyc__,#jokitugas,hashtag_use,https://x.com/Joyyc__/status/1960248710333374469,2025-08-26T07:51:26.000Z,8/27/2025 9:22
@joyyc__3,#jokitugas,hashtag_use,https://x.com/joyyc__3/status/1960248417457692986,2025-08-26T07:50:17.000Z,8/27/2025 9:22
@joyyc__3,#jokitugaskuliah,hashtag_use,https://x.com/joyyc__3/status/1960248417457692986,2025-08-26T07:50:17.000Z,8/27/2025 9:22
@joyyc__3,#jokitugas,hashtag_use,https://x.com/joyyc__3/status/1960219255808446747,2025-08-26T05:54:24.000Z,8/27/2025 9:22
@Joyyc__,#jokitugas,hashtag_use,https://x.com/Joyyc__/status/1960219061477839206,2025-08-26T05:53:38.000Z,8/27/2025 9:22
@Joyyc__,#jokitugaskuliah,hashtag_use,https://x.com/Joyyc__/status/1960219061477839206,2025-08-26T05:53:38.000Z,8/27/2025 9:22
